Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
Eastern Maine,44.629,-67.382,-4.44,0.45,0.45,4706,123,123,0,1,1,0
Eastern Maine,44.429,-68.011,-4.99,0.45,0.45,4557,261,261,0,1,1,0
Eastern Maine,44.683,-67.406,-4.5,0.45,0.45,4258,167,167,0,1,1,0
Eastern Maine,44.429,-68.011,-4.05,0.45,0.45,3869,219,219,0,1,1,0
Eastern Maine,44.629,-67.382,-2.87,0.45,0.45,3383,174,174,0,1,1,0
Eastern Maine,44.629,-67.382,-4.3,0.45,0.45,3347,369,369,0,1,1,0
Eastern Maine,44.683,-67.406,-3.32,0.45,0.45,3265,181,181,0,1,1,0
Eastern Maine,44.629,-67.382,-2.49,0.45,0.45,3024,229,229,0,1,1,0
Eastern Maine,44.683,-67.406,-2.42,0.45,0.45,2948,189,189,0,1,1,0
Eastern Maine,44.429,-68.011,-1.78,0.45,0.45,2896,167,167,0,1,1,0
Eastern Maine,44.429,-68.011,-1.38,0.45,0.45,2462,254,254,0,1,1,0
Eastern Maine,44.429,-68.011,-1.43,0.45,0.45,2423,273,273,0,1,1,0
Eastern Maine,44.429,-68.011,-1.25,0.45,0.45,1975,148,148,0,1,1,0
Eastern Maine,44.429,-68.011,-0.67,0.45,0.45,1136,152,152,0,1,1,0
Eastern Maine,44.429,-68.011,-0.61,0.45,0.45,586,67,67,0,1,1,0
Eastern Maine,44.683,-67.406,-3.97,0.54,0.54,4622,200,200,0,1,1,0
Eastern Maine,44.683,-67.406,-2.88,0.54,0.54,3183,187,187,0,1,1,0
Eastern Maine,44.683,-67.406,-1.68,0.54,0.54,2597,248,248,0,1,1,0
Eastern Maine,44.683,-67.406,-1.72,0.54,0.54,1008,222,222,0,1,1,0
Eastern Maine,44.683,-67.406,-1.18,0.54,0.54,489,165,165,0,1,1,0
Eastern Maine,44.683,-67.406,-4.9,0.55,0.55,5490,171,171,0,1,1,0
Eastern Maine,44.683,-67.406,-1.74,0.55,0.55,2169,159,159,0,1,1,0
Eastern Maine,44.683,-67.406,-1.87,0.55,0.55,2129,179,179,0,1,1,0
Eastern Maine,44.683,-67.406,-0.99,0.55,0.55,1427,114,114,0,1,1,0
Eastern Maine,44.683,-67.406,-0.74,0.55,0.55,1128,156,156,0,1,1,0
Eastern Maine,44.683,-67.406,-0.49,0.55,0.55,1008,222,222,0,1,1,0
Eastern Maine,44.683,-67.406,-0.53,0.55,0.55,154,154,154,0,1,1,0
Eastern Maine,44.43,-68.01,-4.83,0.94,0.94,4381,142,142,0,1,1,0
Eastern Maine,44.43,-68.01,-3.11,0.94,0.94,3218,178,178,0,1,1,0
Eastern Maine,44.43,-68.01,-2.34,0.94,0.94,2854,100,100,0,1,1,0
Eastern Maine,44.43,-68.01,-1.55,0.94,0.94,2613,146,146,0,1,1,0
Eastern Maine,44.43,-68.01,-0.8,0.94,0.94,1693,128,128,0,1,1,0
Eastern Maine,44.608,-67.753,-3.94,1.1,1.1,4576,277,277,0,1,1,0
Eastern Maine,44.608,-67.753,-3.49,1.1,1.1,3684,279,279,0,1,1,0
Eastern Maine,44.608,-67.753,-3.26,1.1,1.1,3406,151,151,0,1,1,0
Eastern Maine,44.608,-67.753,-3.04,1.1,1.1,3136,209,209,0,1,1,0
Eastern Maine,44.608,-67.753,-3,1.1,1.1,2929,137,137,0,1,1,0
Eastern Maine,44.608,-67.753,-1.97,1.1,1.1,2910,152,152,0,1,1,0
Eastern Maine,44.608,-67.753,-2.4,1.1,1.1,2896,163,163,0,1,1,0
Eastern Maine,44.608,-67.753,-1.8,1.1,1.1,2613,247,247,0,1,1,0
Eastern Maine,44.608,-67.753,-1.7,1.1,1.1,2156,155,155,0,1,1,0
Eastern Maine,44.608,-67.753,-1.62,1.1,1.1,1781,260,260,0,1,1,0
Eastern Maine,44.608,-67.753,-1.22,1.1,1.1,1427,131,131,0,1,1,0
Eastern Maine,44.608,-67.753,-1.53,1.1,1.1,1143,153,153,0,1,1,0
Eastern Maine,44.608,-67.753,-0.67,1.1,1.1,408,113,113,0,1,1,0
Eastern Maine,44.43,-68.02,-3.53,0.17,0.17,11026,225,225,1,1,1,0
Eastern Maine,44.43,-68.02,-2.05,0.17,0.17,10841,280,280,1,1,1,0
Eastern Maine,44.43,-68.01,0.5,0.85,0.85,1408,107,107,1,1,1,0
Eastern Maine,44.43,-68.01,1.29,0.85,0.85,1401,111,111,1,1,1,0
Southern Maine,42.351,-71.075,-7.66,0.27,0.27,5147,420,420,-1,1,2,0
Southern Maine,44.119,-68.869,-11.25,0.8,0.8,6183,272,272,-1,1,2,0
Southern Maine,44.119,-68.869,-7.6,0.8,0.8,5714,261,261,-1,1,2,0
Southern Maine,43.7,-69.767,-22.91,3.02,3.02,10438,208,208,-1,1,2,0
Southern Maine,43.7,-69.767,-22.71,3.02,3.02,10384,193,193,-1,1,2,0
Southern Maine,43.7,-69.767,-24.71,3.02,3.02,9898,322,322,-1,1,2,0
Southern Maine,43.7,-69.767,-23.91,3.02,3.02,9897,274,274,-1,1,2,0
Southern Maine,43.7,-69.767,-24.36,3.02,3.02,9883,333,333,-1,1,2,0
Southern Maine,43.717,-70.167,-24.11,3.02,3.02,9804,285,285,-1,1,2,0
Southern Maine,43.7,-69.767,-24.26,3.02,3.02,9778,313,313,-1,1,2,0
Southern Maine,43.7,-69.767,-22.61,3.02,3.02,9654,344,344,-1,1,2,0
Southern Maine,44.414,-68.857,-27.4,3.02,3.02,9271,213,213,-1,1,2,0
Southern Maine,44.414,-68.857,-27.4,3.02,3.02,9262,225,225,-1,1,2,0
Southern Maine,43.707,-69.794,-26.62,3.02,3.02,9262,194,194,-1,1,2,0
Southern Maine,43.707,-69.794,-26.62,3.02,3.02,9178,201,201,-1,1,2,0
Southern Maine,43.8,-69.85,-46.11,3.02,3.02,8707,267,267,-1,1,2,0
Southern Maine,43.7,-69.767,-22.86,3.02,3.02,8689,273,273,-1,1,2,0
Southern Maine,43.701,-69.824,-25.62,3.02,3.02,7869,235,235,-1,1,2,0
Southern Maine,43.701,-69.824,-25.62,3.02,3.02,7707,193,193,-1,1,2,0
Southern Maine,43.7,-69.767,-24.51,3.02,3.02,7671,233,233,-1,1,2,0
Southern Maine,43.533,-70.217,-51.51,3.02,3.02,6251,373,373,-1,1,2,0
Southern Maine,43.533,-70.217,-54.31,3.02,3.02,317,171,171,-1,1,2,0
Southern Maine,42.64,-70.45,-58.05,3.18,3.18,4750,210,210,-1,1,2,0
Southern Maine,42.655,-70.415,-61.06,3.19,3.19,7850,177,177,-1,1,2,0
Southern Maine,43.292,-70.573,-2.95,0.38,0.38,4752,213,213,0,1,2,0
Southern Maine,43.292,-70.573,-1.58,0.38,0.38,2116,187,187,0,1,2,0
Southern Maine,43.292,-70.573,-0.67,0.38,0.38,895,151,151,0,1,2,0
Southern Maine,43.292,-70.573,-5.85,0.39,0.39,5917,254,254,0,1,2,0
Southern Maine,43.292,-70.573,-4.15,0.39,0.39,5455,136,136,0,1,2,0
Southern Maine,43.292,-70.573,-5.09,0.39,0.39,5058,216,216,0,1,2,0
Southern Maine,43.292,-70.573,-3.6,0.39,0.39,4792,175,175,0,1,2,0
Southern Maine,43.292,-70.573,-3.79,0.39,0.39,4705,166,166,0,1,2,0
Southern Maine,43.292,-70.573,-3.14,0.39,0.39,4261,163,163,0,1,2,0
Southern Maine,43.292,-70.573,-4.19,0.39,0.39,4193,211,211,0,1,2,0
Southern Maine,43.292,-70.573,-2.92,0.39,0.39,4062,164,164,0,1,2,0
Southern Maine,43.292,-70.573,-3.01,0.39,0.39,3801,163,163,0,1,2,0
Southern Maine,43.292,-70.573,-1.75,0.39,0.39,3573,127,127,0,1,2,0
Southern Maine,43.292,-70.573,-2.9,0.39,0.39,3521,159,159,0,1,2,0
Southern Maine,43.292,-70.573,-2.24,0.39,0.39,3274,193,193,0,1,2,0
Southern Maine,43.292,-70.573,-1.56,0.39,0.39,3262,183,183,0,1,2,0
Southern Maine,43.292,-70.573,-2.6,0.39,0.39,3255,192,192,0,1,2,0
Southern Maine,43.292,-70.573,-2.38,0.39,0.39,2557,192,192,0,1,2,0
Southern Maine,43.292,-70.573,-1.34,0.39,0.39,1990,114,114,0,1,2,0
Southern Maine,43.292,-70.573,-0.95,0.39,0.39,1403,113,113,0,1,2,0
Southern Maine,43.292,-70.573,-1.17,0.39,0.39,1253,108,108,0,1,2,0
Southern Maine,43.34,-70.541,-1.27,0.39,0.39,1046,122,122,0,1,2,0
Southern Maine,43.34,-70.541,-0.73,0.39,0.39,322,167,167,0,1,2,0
Southern Maine,43.964,-69.571,-15.31,0.4,0.4,7217,196,196,0,1,2,0
Southern Maine,43.752,-69.822,-4.13,0.4,0.4,5149,292,292,0,1,2,0
Southern Maine,43.752,-69.822,-3.09,0.4,0.4,4810,229,229,0,1,2,0
Southern Maine,43.292,-70.573,-2.8,0.4,0.4,4371,444,444,0,1,2,0
Southern Maine,43.742,-69.832,-1.71,0.4,0.4,2907,153,153,0,1,2,0
Southern Maine,43.752,-69.822,-1.89,0.4,0.4,2752,208,208,0,1,2,0
Southern Maine,42.428,-70.989,-1.94,0.4,0.4,2555,189,189,0,1,2,0
Southern Maine,42.428,-70.989,-1.38,0.4,0.4,1827,100,100,0,1,2,0
Southern Maine,42.428,-70.989,-0.95,0.4,0.4,931,127,127,0,1,2,0
Southern Maine,43.752,-69.822,-0.62,0.4,0.4,899,154,154,0,1,2,0
Southern Maine,42.428,-70.989,-0.73,0.4,0.4,234,234,234,0,1,2,0
Southern Maine,43.752,-69.822,-6.9,0.41,0.41,5747,146,146,0,1,2,0
Southern Maine,43.742,-69.832,-6.49,0.41,0.41,5695,201,201,0,1,2,0
Southern Maine,43.752,-69.822,-3.03,0.41,0.41,4164,236,236,0,1,2,0
Southern Maine,43.752,-69.822,-3.57,0.41,0.41,3768,379,379,0,1,2,0
Southern Maine,43.752,-69.822,-2.33,0.41,0.41,3707,123,123,0,1,2,0
Southern Maine,42.428,-70.989,-2.52,0.41,0.41,3228,148,148,0,1,2,0
Southern Maine,42.428,-70.989,-2.33,0.41,0.41,3138,190,190,0,1,2,0
Southern Maine,43.292,-70.573,-0.88,0.43,0.43,1080,148,148,0,1,2,0
Southern Maine,43.292,-70.573,-0.82,0.43,0.43,1049,119,119,0,1,2,0
Southern Maine,43.292,-70.573,-0.77,0.43,0.43,925,130,130,0,1,2,0
Southern Maine,43.292,-70.573,-0.68,0.43,0.43,786,114,114,0,1,2,0
Southern Maine,43.292,-70.573,-0.6,0.43,0.43,476,157,157,0,1,2,0
Southern Maine,43.292,-70.573,-0.53,0.43,0.43,246,246,246,0,1,2,0
Southern Maine,43.34,-70.541,-2.23,0.69,0.69,4997,268,268,0,1,2,0
Southern Maine,43.292,-70.573,-2.88,0.69,0.69,3892,188,188,0,1,2,0
Southern Maine,43.292,-70.573,-1.85,0.69,0.69,2551,189,189,0,1,2,0
Southern Maine,43.292,-70.573,-1.34,0.69,0.69,2208,142,142,0,1,2,0
Southern Maine,43.292,-70.573,-0.96,0.69,0.69,1683,133,133,0,1,2,0
Southern Maine,43.34,-70.541,-0.36,0.76,0.76,648,318,318,0,1,2,0
Southern Maine,42.719,-70.82,-1.49,0.77,0.77,415,91,91,0,1,2,0
Southern Maine,42.725,-70.856,-5.97,0.84,0.84,5779,117,117,0,1,2,0
Southern Maine,43.752,-69.822,-2,0.84,0.84,3004,207,207,0,1,2,0
Southern Maine,42.725,-70.856,-2.94,0.84,0.84,2969,189,189,0,1,2,0
Southern Maine,43.752,-69.822,-2.91,0.84,0.84,2563,196,196,0,1,2,0
Southern Maine,43.752,-69.822,-1.85,0.84,0.84,1420,134,134,0,1,2,0
Southern Maine,43.752,-69.822,-1.48,0.84,0.84,1192,118,118,0,1,2,0
Southern Maine,42.743,-70.84,-1.02,0.84,0.84,849,76,76,0,1,2,0
Southern Maine,42.725,-70.856,-1.12,0.84,0.84,731,49,49,0,1,2,0
Southern Maine,43.752,-69.822,-1.49,0.84,0.84,578,75,75,0,1,2,0
Southern Maine,42.745,-70.831,-1.37,0.84,0.84,529,23,23,0,1,2,0
Southern Maine,42.746,-70.823,-1.22,0.84,0.84,515,33,33,0,1,2,0
Southern Maine,42.729,-70.823,-1.74,0.84,0.84,425,110,110,0,1,2,0
Southern Maine,42.739,-70.839,-1.05,0.84,0.84,408,92,92,0,1,2,0
Southern Maine,42.729,-70.823,-0.88,0.84,0.84,303,149,149,0,1,2,0
Southern Maine,43.752,-69.822,-1,0.84,0.84,143,143,143,0,1,2,0
Southern Maine,44.176,-68.825,-2.26,0.94,0.94,3471,392,392,0,1,2,0
Southern Maine,44.176,-68.825,-1.51,0.94,0.94,2136,315,315,0,1,2,0
Southern Maine,42.732,-70.84,-0.44,0.95,0.95,140,140,140,0,1,2,0
Southern Maine,42.729,-70.839,-0.66,0.95,0.95,137,137,137,0,1,2,0
Southern Maine,42.745,-70.831,-3.13,1,1,4332,86,86,0,1,2,0
Southern Maine,42.744,-70.826,-2.4,1,1,3733,98,98,0,1,2,0
Southern Maine,42.739,-70.839,-1.88,1,1,2220,90,90,0,1,2,0
Southern Maine,42.739,-70.839,-1.16,1,1,1553,135,135,0,1,2,0
Southern Maine,42.739,-70.839,-0.66,1,1,1158,99,99,0,1,2,0
Southern Maine,43.752,-69.822,-1.48,1.08,1.08,2127,178,178,0,1,2,0
Southern Maine,42.5,-71.1,-1.4,1.13,1.13,2601,253,253,0,1,2,0
Southern Maine,43.32,-70.58,-2.06,0.16,0.16,5098,211,211,1,1,2,0
Southern Maine,43.32,-70.58,-1.23,0.26,0.26,5182,131,131,1,1,2,0
Southern Maine,42.346,-71.08,-2.95,0.26,0.26,4331,453,453,1,1,2,0
Southern Maine,43.32,-70.58,-1.23,0.26,0.26,3482,92,92,1,1,2,0
Southern Maine,42.4,-71.1,-6.33,0.27,0.27,6492,1177,1177,1,1,2,0
Southern Maine,42.351,-71.075,-7.12,0.27,0.27,6375,354,354,1,1,2,0
Southern Maine,43.32,-70.58,2.83,0.73,0.73,3158,401,401,1,1,2,0
Southern Maine,43.32,-70.58,3.9,0.73,0.73,2901,535,535,1,1,2,0
Southern Maine,44.176,-68.825,-0.52,0.8,0.8,4132,648,648,1,1,2,0
Southern Maine,42.75,-70.8,-5.2,0.95,0.95,5618,294,294,1,1,2,0
Southern Maine,42.75,-70.8,-2.49,0.95,0.95,4848,429,429,1,1,2,0
Southern Maine,42.75,-70.8,-1.56,0.95,0.95,3986,391,391,1,1,2,0
Southern Maine,42.75,-70.8,-0.95,0.95,0.95,3854,372,372,1,1,2,0
Southern Maine,42.75,-70.8,-0.6,0.95,0.95,3642,278,278,1,1,2,0
Southern Maine,42.75,-70.8,0.8,0.95,0.95,2474,289,289,1,1,2,0
Southern Maine,42.75,-70.8,-10.09,0.96,0.96,7131,333,333,1,1,2,0
Southern Maine,42.27,-71.05,0.22,0.96,0.96,3308,515,515,1,1,2,0
Southern Maine,42.27,-71.05,0.7,0.96,0.96,2873,508,508,1,1,2,0
Southern Maine,42.27,-71.05,1.31,0.96,0.96,2154,506,506,1,1,2,0
Southern Maine,42.27,-71.05,1.43,0.96,0.96,1788,246,246,1,1,2,0
Southern Maine,42.27,-71.05,1.74,0.96,0.96,1267,250,250,1,1,2,0
Southern Maine,42.27,-71.05,2.04,0.96,0.96,1188,199,199,1,1,2,0
Massachusetts,42.431,-71.008,-1.83,0.12,0.12,2598,149,149,0,1,3,1
Massachusetts,42.238,-70.778,-1.12,0.12,0.12,1487,78,78,0,1,3,1
Massachusetts,42.238,-70.778,-1.02,0.12,0.12,1443,74,74,0,1,3,1
Massachusetts,42.238,-70.778,-0.98,0.12,0.12,1331,40,40,0,1,3,1
Massachusetts,42.238,-70.778,-0.93,0.12,0.12,1279,61,61,0,1,3,1
Massachusetts,42.238,-70.778,-0.74,0.12,0.12,1243,96,96,0,1,3,1
Massachusetts,42.238,-70.778,-0.84,0.12,0.12,1222,101,101,0,1,3,1
Massachusetts,42.238,-70.778,-0.63,0.12,0.12,1018,100,100,0,1,3,1
Massachusetts,42.238,-70.778,-0.64,0.12,0.12,1009,54,54,0,1,3,1
Massachusetts,42.431,-71.008,-0.69,0.12,0.12,962,53,53,0,1,3,1
Massachusetts,42.238,-70.778,-0.59,0.12,0.12,953,68,68,0,1,3,1
Massachusetts,42.238,-70.778,-0.52,0.12,0.12,535,60,60,0,1,3,1
Massachusetts,42.238,-70.778,-0.49,0.12,0.12,464,91,91,0,1,3,1
Massachusetts,42.238,-70.778,-0.49,0.12,0.12,463,95,95,0,1,3,1
Massachusetts,42.238,-70.778,-0.42,0.12,0.12,350,90,90,0,1,3,1
Massachusetts,42.238,-70.778,-0.39,0.12,0.12,281,25,25,0,1,3,1
Massachusetts,42.238,-70.778,-0.35,0.12,0.12,250,50,50,0,1,3,1
Massachusetts,42.238,-70.778,-0.19,0.12,0.12,75,25,25,0,1,3,1
Massachusetts,42.238,-70.778,-0.05,0.12,0.12,20,10,10,0,1,3,1
Massachusetts,42.431,-71.008,-2.57,0.14,0.14,3260,104,104,0,1,3,1
Massachusetts,42.431,-71.008,-1.29,0.14,0.14,1813,90,90,0,1,3,1
Massachusetts,42.431,-71.008,-0.58,0.14,0.14,366,98,98,0,1,3,1
Massachusetts,42.431,-71.008,-2.25,0.16,0.16,3108,161,161,0,1,3,1
Massachusetts,41.55,-70.467,-10.43,0.71,0.71,3616,222,222,-1,1,3,0
Massachusetts,41.443,-70.722,-15.11,0.71,0.71,3538,220,220,-1,1,3,0
Massachusetts,41.55,-70.467,-10.63,0.71,0.71,3443,240,240,-1,1,3,0
Massachusetts,41.443,-70.722,-14.61,0.71,0.71,3333,264,264,-1,1,3,0
Massachusetts,41.408,-70.739,-27.65,0.75,0.75,9089,637,637,-1,1,3,0
Massachusetts,41.368,-70.867,-26.75,0.75,0.75,4491,1231,1231,-1,1,3,0
Massachusetts,41.302,-70.992,-33.77,0.77,0.77,10534,633,633,-1,1,3,0
Massachusetts,41.303,-70.992,-33.07,0.77,0.77,10259,1364,1364,-1,1,3,0
Massachusetts,41.243,-70.927,-32.17,0.77,0.77,853,369,369,-1,1,3,0
Massachusetts,41.317,-70.992,-35.78,0.78,0.78,10441,760,760,-1,1,3,0
Massachusetts,41.317,-70.922,-34.38,0.78,0.78,5354,487,487,-1,1,3,0
Massachusetts,41.3,-71,-37.42,3.15,3.15,9983,578,578,-1,1,3,0
Massachusetts,41.633,-70.333,-1.73,0.56,0.56,1590,526,526,0,1,3,0
Massachusetts,41.73,-70.3,-3.83,1.12,1.12,2178,273,273,0,1,3,0
Massachusetts,41.73,-70.3,-2.06,1.12,1.12,1334,184,184,0,1,3,0
Massachusetts,41.73,-70.32,-2.03,1.12,1.12,987,244,244,0,1,3,0
Massachusetts,41.73,-70.32,-1.63,1.12,1.12,662,122,122,0,1,3,0
Massachusetts,41.73,-70.3,-0.56,1.12,1.12,240,240,240,0,1,3,0
Massachusetts,41.7,-70.36,-6.48,1.34,1.34,4096,705,705,0,1,3,0
Massachusetts,41.71,-70.37,-6.04,1.34,1.34,3390,1106,1106,0,1,3,0
Massachusetts,41.71,-70.37,-5.12,1.34,1.34,3263,794,794,0,1,3,0
Massachusetts,41.7,-70.36,-3.61,1.34,1.34,2948,608,608,0,1,3,0
Massachusetts,41.71,-70.37,-2.83,1.34,1.34,2245,706,706,0,1,3,0
Massachusetts,41.71,-70.37,-1.83,1.34,1.34,1929,755,755,0,1,3,0
Massachusetts,41.7,-70.36,-4.74,1.34,1.34,1802,242,242,0,1,3,0
Massachusetts,41.71,-70.37,-0.91,1.34,1.34,1028,540,540,0,1,3,0
Massachusetts,41.7,-70.36,-0.33,1.34,1.34,735,180,180,0,1,3,0
Massachusetts,41.7,-70.36,-0.03,1.34,1.34,321,321,321,0,1,3,0
Massachusetts,41.7,-70.317,-0.12,1.34,1.34,238,238,238,0,1,3,0
Massachusetts,41.73,-70.38,-3.11,0.22,0.22,3426,804,804,1,1,3,0
Massachusetts,41.633,-70.333,-2,0.26,0.26,2170,537,537,1,1,3,0
Massachusetts,41.633,-70.333,-3.74,0.53,0.53,6281,674,674,1,1,3,0
Massachusetts,41.55,-70.633,-4.74,0.53,0.53,3688,287,287,1,1,3,0
Massachusetts,41.633,-70.333,-1.1,0.53,0.53,2062,641,641,1,1,3,0
Massachusetts,41.7,-70.317,1.46,0.53,0.53,368,368,368,1,1,3,0
Massachusetts,41.73,-70.38,-4.85,0.54,0.54,5512,883,883,1,1,3,0
Massachusetts,41.84,-69.97,-4.46,0.57,0.57,3725,250,250,1,1,3,0
Massachusetts,41.84,-69.97,-2.39,0.57,0.57,2382,323,323,1,1,3,0
Massachusetts,41.583,-70.383,-8.12,0.7,0.7,5261,207,207,1,1,3,0
Massachusetts,41.583,-70.4,-8.02,0.7,0.7,4844,117,117,1,1,3,0
Massachusetts,41.482,-70.86,-16.28,0.72,0.72,8454,574,574,1,1,3,0
Massachusetts,41.45,-70.937,-20.07,0.73,0.73,9156,739,739,1,1,3,0
Massachusetts,41.817,-70.085,-8.52,3.14,3.14,5373,801,801,1,1,3,0
Connecticut,41.331,-71.864,-0.91,0.08,0.08,614,33,33,0,1,4,1
Connecticut,41.331,-71.864,-0.78,0.08,0.08,537,27,27,0,1,4,1
Connecticut,41.331,-71.864,-0.82,0.08,0.08,509,41,41,0,1,4,1
Connecticut,41.331,-71.864,-0.69,0.08,0.08,389,82,82,0,1,4,1
Connecticut,41.331,-71.864,-0.63,0.1,0.1,380,86,86,0,1,4,1
Connecticut,41.331,-71.864,-0.53,0.1,0.1,296,27,27,0,1,4,1
Connecticut,41.331,-71.864,-0.47,0.1,0.1,237,13,13,0,1,4,1
Connecticut,41.331,-71.864,-0.42,0.1,0.1,161,9,9,0,1,4,1
Connecticut,41.331,-71.864,-0.4,0.1,0.1,125,25,25,0,1,4,1
Connecticut,41.331,-71.864,-0.32,0.1,0.1,75,25,25,0,1,4,1
Connecticut,41.276,-72.652,-2.37,0.32,0.32,2183,82,92,0,1,4,1
Connecticut,41.276,-72.652,-2.35,0.32,0.32,2167,79,86,0,1,4,1
Connecticut,41.276,-72.652,-2.34,0.32,0.32,2150,75,79,0,1,4,1
Connecticut,41.276,-72.652,-2.34,0.32,0.32,2134,72,72,0,1,4,1
Connecticut,41.276,-72.652,-2.34,0.32,0.32,2119,68,65,0,1,4,1
Connecticut,41.276,-72.652,-2.29,0.32,0.32,2111,65,61,0,1,4,1
Connecticut,41.276,-72.652,-2.34,0.32,0.32,2102,63,57,0,1,4,1
Connecticut,41.276,-72.652,-2.33,0.32,0.32,2080,60,55,0,1,4,1
Connecticut,41.276,-72.652,-2.27,0.32,0.32,2065,56,55,0,1,4,1
Connecticut,41.276,-72.652,-2.29,0.32,0.32,2050,53,55,0,1,4,1
Connecticut,41.276,-72.652,-2.3,0.32,0.32,2032,51,54,0,1,4,1
Connecticut,41.276,-72.652,-2.29,0.32,0.32,2014,48,53,0,1,4,1
Connecticut,41.276,-72.652,-2.21,0.32,0.32,2000,46,52,0,1,4,1
Connecticut,41.276,-72.652,-2.2,0.32,0.32,1987,44,50,0,1,4,1
Connecticut,41.276,-72.652,-2.17,0.32,0.32,1973,42,48,0,1,4,1
Connecticut,41.276,-72.652,-2.18,0.32,0.32,1956,46,47,0,1,4,1
Connecticut,41.276,-72.652,-2.2,0.32,0.32,1937,47,46,0,1,4,1
Connecticut,41.276,-72.652,-2.1,0.32,0.32,1919,48,45,0,1,4,1
Connecticut,41.276,-72.652,-2.14,0.32,0.32,1901,49,44,0,1,4,1
Connecticut,41.276,-72.652,-2.12,0.32,0.32,1876,51,44,0,1,4,1
Connecticut,41.276,-72.652,-2.1,0.32,0.32,1858,55,48,0,1,4,1
Connecticut,41.276,-72.652,-2.04,0.32,0.32,1840,58,51,0,1,4,1
Connecticut,41.276,-72.652,-1.98,0.32,0.32,1831,58,51,0,1,4,1
Connecticut,41.276,-72.652,-2.03,0.32,0.32,1822,57,52,0,1,4,1
Connecticut,41.276,-72.652,-2,0.32,0.32,1805,57,51,0,1,4,1
Connecticut,41.276,-72.652,-1.98,0.32,0.32,1786,56,49,0,1,4,1
Connecticut,41.276,-72.652,-1.95,0.32,0.32,1760,54,50,0,1,4,1
Connecticut,41.276,-72.652,-1.97,0.32,0.32,1741,56,55,0,1,4,1
Connecticut,41.276,-72.652,-1.95,0.32,0.32,1725,58,59,0,1,4,1
Connecticut,41.276,-72.652,-1.91,0.32,0.32,1708,56,59,0,1,4,1
Connecticut,41.276,-72.652,-1.92,0.32,0.32,1688,48,63,0,1,4,1
Connecticut,41.276,-72.652,-1.9,0.32,0.32,1662,47,69,0,1,4,1
Connecticut,41.276,-72.652,-1.92,0.32,0.32,1637,54,70,0,1,4,1
Connecticut,41.276,-72.652,-1.88,0.32,0.32,1628,59,72,0,1,4,1
Connecticut,41.276,-72.652,-1.87,0.32,0.32,1599,65,77,0,1,4,1
Connecticut,41.276,-72.652,-1.89,0.32,0.32,1579,66,78,0,1,4,1
Connecticut,41.276,-72.652,-1.85,0.32,0.32,1559,66,77,0,1,4,1
Connecticut,41.276,-72.652,-1.81,0.32,0.32,1538,64,73,0,1,4,1
Connecticut,41.276,-72.652,-1.77,0.32,0.32,1517,59,71,0,1,4,1
Connecticut,41.276,-72.652,-1.7,0.32,0.32,1496,55,65,0,1,4,1
Connecticut,41.276,-72.652,-1.78,0.32,0.32,1475,50,56,0,1,4,1
Connecticut,41.276,-72.652,-1.75,0.32,0.32,1446,44,50,0,1,4,1
Connecticut,41.276,-72.652,-1.7,0.32,0.32,1427,41,49,0,1,4,1
Connecticut,41.276,-72.652,-1.64,0.32,0.32,1408,37,45,0,1,4,1
Connecticut,41.276,-72.652,-1.67,0.32,0.32,1386,34,34,0,1,4,1
Connecticut,41.276,-72.652,-1.67,0.32,0.32,1361,37,32,0,1,4,1
Connecticut,41.276,-72.652,-1.69,0.32,0.32,1340,41,35,0,1,4,1
Connecticut,41.276,-72.652,-1.66,0.32,0.32,1322,44,38,0,1,4,1
Connecticut,41.276,-72.652,-1.59,0.32,0.32,1304,46,41,0,1,4,1
Connecticut,41.276,-72.652,-1.64,0.32,0.32,1286,47,38,0,1,4,1
Connecticut,41.276,-72.652,-1.62,0.32,0.32,1265,52,31,0,1,4,1
Connecticut,41.276,-72.652,-1.58,0.32,0.32,1244,56,32,0,1,4,1
Connecticut,41.276,-72.652,-1.54,0.32,0.32,1227,59,39,0,1,4,1
Connecticut,41.276,-72.652,-1.54,0.32,0.32,1209,60,47,0,1,4,1
Connecticut,41.276,-72.652,-1.46,0.32,0.32,1192,62,52,0,1,4,1
Connecticut,41.276,-72.652,-1.5,0.32,0.32,1175,66,56,0,1,4,1
Connecticut,41.276,-72.652,-1.43,0.32,0.32,1158,67,60,0,1,4,1
Connecticut,41.276,-72.652,-1.41,0.32,0.32,1141,66,64,0,1,4,1
Connecticut,41.276,-72.652,-1.43,0.32,0.32,1124,66,65,0,1,4,1
Connecticut,41.276,-72.652,-1.34,0.32,0.32,1107,66,65,0,1,4,1
Connecticut,41.276,-72.652,-1.32,0.32,0.32,1090,65,66,0,1,4,1
Connecticut,41.276,-72.652,-1.24,0.32,0.32,988,41,61,0,1,4,1
Connecticut,41.276,-72.652,-1.17,0.32,0.32,971,34,53,0,1,4,1
Connecticut,41.276,-72.652,-1.28,0.32,0.32,943,44,51,0,1,4,1
Connecticut,41.276,-72.652,-1.19,0.32,0.32,901,63,58,0,1,4,1
Connecticut,41.276,-72.652,-1.11,0.32,0.32,880,67,62,0,1,4,1
Connecticut,41.276,-72.652,-1.06,0.32,0.32,858,67,65,0,1,4,1
